date_time,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya
2012-10-01,78.5,78.5,82.5,77.7,88.0,79.7,20.6,24.3,48.8,63.3,91.5,85.5,86.2,68.8,64.0,71.5,68.7,98.1,76.0,94.0,72.7,85.5,87.0,80.7,93.0,73.0,68.0,56.1,74.0,68.0,55.3,62.9,23.2,51.0,51.0
2012-10-02,84.6,72.46666666666667,69.6,71.66666666666667,83.73333333333333,74.06666666666666,17.933333333333334,26.466666666666665,45.4,66.13333333333334,87.13333333333334,79.6,68.6,62.8,57.333333333333336,72.66666666666667,62.06666666666667,94.26666666666667,74.53333333333333,94.0,63.46666666666667,78.33333333333333,86.66666666666667,77.33333333333333,89.6,55.53333333333333,59.46666666666667,52.333333333333336,37.0,67.73333333333333,67.93333333333334,67.66666666666667,28.066666666666666,51.666666666666664,51.666666666666664
2012-10-03,73.5,67.5,45.666666666666664,61.0,49.833333333333336,67.0,15.833333333333334,17.333333333333332,33.333333333333336,41.833333333333336,68.33333333333333,51.833333333333336,66.16666666666667,44.166666666666664,46.333333333333336,68.83333333333333,59.0,89.0,94.16666666666667,86.0,68.0,79.66666666666667,85.0,85.5,81.66666666666667,80.16666666666667,80.83333333333333,69.16666666666667,84.66666666666667,85.83333333333333,74.16666666666667,75.83333333333333,46.333333333333336,69.66666666666667,69.66666666666667
2012-10-04,62.333333333333336,64.16666666666667,60.833333333333336,53.333333333333336,71.66666666666667,78.83333333333333,16.666666666666668,20.0,23.5,19.5,89.16666666666667,65.33333333333333,84.33333333333333,73.33333333333333,54.833333333333336,82.0,70.83333333333333,92.0,93.0,93.33333333333333,81.33333333333333,77.5,87.16666666666667,88.16666666666667,85.0,84.33333333333333,97.0,100.0,96.5,87.33333333333333,66.83333333333333,64.66666666666667,50.0,71.66666666666667,71.66666666666667
2012-10-05,43.666666666666664,40.666666666666664,74.83333333333333,44.333333333333336,77.16666666666667,81.0,12.166666666666666,23.333333333333332,17.166666666666668,39.666666666666664,79.33333333333333,54.0,83.0,53.666666666666664,38.666666666666664,85.33333333333333,77.33333333333333,87.16666666666667,76.5,93.0,79.0,94.5,88.0,85.33333333333333,73.33333333333333,91.66666666666667,86.66666666666667,97.66666666666667,84.5,86.33333333333333,56.166666666666664,58.666666666666664,56.0,67.0,67.0
2012-10-06,47.0,28.0,74.5,50.0,82.0,73.0,14.5,20.0,15.0,55.0,75.5,59.0,83.0,73.5,56.0,66.5,64.0,88.0,77.0,84.5,65.5,97.0,88.0,78.0,67.0,41.0,90.5,85.5,96.5,78.0,88.5,75.5,64.0,72.0,72.0
2012-10-08,37.0,15.0,52.0,30.0,64.0,64.0,9.0,15.0,24.0,16.0,66.0,53.0,59.0,28.0,23.0,40.0,29.0,43.0,52.0,58.0,65.0,69.0,82.0,88.0,81.0,75.0,81.0,76.0,81.0,81.0,72.0,64.0,38.0,66.0,66.0
2012-10-09,54.0,32.0,67.0,45.0,73.0,77.0,14.0,17.0,36.0,26.0,71.0,61.0,63.0,45.0,33.0,80.0,41.0,57.0,56.0,66.0,75.0,78.0,76.0,83.0,81.0,81.0,76.0,87.0,65.0,87.0,78.0,68.0,38.0,66.0,66.0
2012-10-10,70.5,29.0,47.5,43.0,46.0,57.5,14.5,21.0,14.0,21.0,60.5,57.0,63.0,58.5,46.0,45.5,52.5,45.0,49.5,62.5,33.5,71.5,62.0,68.5,52.5,52.0,65.0,66.5,51.5,73.5,68.5,74.0,32.0,65.0,65.0
2012-10-11,64.66666666666667,35.916666666666664,53.75,47.333333333333336,48.916666666666664,58.916666666666664,20.75,20.75,25.166666666666668,32.5,60.0,72.16666666666667,63.75,49.166666666666664,45.75,46.666666666666664,48.666666666666664,47.166666666666664,50.916666666666664,64.33333333333333,52.75,64.33333333333333,58.75,71.58333333333333,61.333333333333336,57.166666666666664,77.75,80.75,74.58333333333333,81.66666666666667,61.833333333333336,69.25,29.833333333333332,67.0,67.0
